"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","species.new","recordID","confidenceLocality","selectionCategory","Nome_UC"
,,"8",,"ESALQ","ESA",,"PRESERVED_SPECIMEN","109480","30064","Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.",,,,,,,,,"Brasil",,"São Paulo","Sete Barras","Sete Barras","Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes",,,"-24.379999","-47.919998","34059",,,,,,,"Zollernia ilicifolia","Fabaceae","Zollernia",,,,,,,,,,,,,,,,,"ESA109480","Splink","ESA",,"Souza, V.C.","30064",,,,"Duarte, A.R.; Rando, J.G.; Ferreira, M.P.","Souza",,"brazil","sao paulo","sete barras","parque estadual carlos botelho",,"locality","brazil_sao paulo_sete barras_parque estadual carlos botelho","brazil_sao paulo_sete barras_pe carlos botelho",-24.166173,-47.972686,"locality","brazil_sao paulo_sete barras","Brazil","São Paulo","Sete Barras",,"ibge",TRUE,-24.379999,-47.919998,"coord_original","miliseconds","Zollernia ilicifolia","(Brongn.) Vogel","possibly_ok","Fabaceae","Zollernia ilicifolia","(Brongn.) Vogel","species","name accepted","bfo-29915",,,"Zollernia ilicifolia (Brongn.) Vogel","Zollernia","Fabaceae","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","Zollernia ilicifolia",1162257,"High","locality_exact","PARQUE ESTADUAL CARLOS BOTELHO"
,,"40",,"MBM","MBM",,"PRESERVED_SPECIMEN","235534","48","Dias, AC; et al.",,,,,"13",,,,"Brazil",,"São Paulo","São Miguel Arcanjo","São Miguel Arcanjo","Parque Estadual Carlos Botelho.",,,"-23.870001","-47.990002","27904",,,,"Bidá, A",,,"Symplocos variabilis","Symplocaceae","Symplocos",,"Mart. ex Miq.",,,,,,,,,,,,,,,"MBM235534","Splink","MBM",,"Dias, A.C.","48",,"Bida, A.",,,"Dias",,"brazil","sao paulo","sao miguel arcanjo","parque estadual carlos botelho",,"locality","brazil_sao paulo_sao miguel arcanjo_parque estadual carlos botelho","brazil_sao paulo_sao miguel arcanjo_pe carlos botelho",-24.068723,-47.971617,"locality","brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge",TRUE,-23.870001,-47.990002,"coord_original","miliseconds","Symplocos estrellensis","Casar.","possibly_ok","Symplocaceae","Symplocos estrellensis","Casar.","species","replaced synonym","bfo-111277","Symplocos estrellensis","Casar.","Symplocos estrellensis Casar.","Symplocos","Symplocaceae","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","Symplocos estrellensis",1230810,"High","locality_exact","PARQUE ESTADUAL CARLOS BOTELHO"
,,"40",,"MBM","MBM",,"PRESERVED_SPECIMEN","123685","106","Dias, AC",,,,,"14",,,,"Brazil",,"São Paulo","Carlos Botelho","Carlos Botelho","Parque Estadual Carlos Botelho.",,,"0","0",,,,,"Stehmann, JR; Semir",,,"Solanum pseudoquina","Solanaceae","Solanum",,"A.St.-Hil.",,,,,,,,,,,,,,,"MBM123685","Splink","MBM",,"Dias, A.C.","106",,"Stehmann, J.R.",,,"Dias","Semir","brazil","sao paulo","carlos botelho","parque estadual carlos botelho",,"locality","brazil_sao paulo_carlos botelho","brazil_sao paulo",-22.2584562,-48.7420254,"state","brazil_sao paulo","Brazil","São Paulo",,,"gadm",FALSE,-22.2584562,-48.7420254,"coord_gazet","seconds_centroid","Solanum pseudoquina","A.St.-Hil.","possibly_ok","Solanaceae","Solanum pseudoquina","A.St.-Hil.","species","name accepted","bfo-14836",,,"Solanum pseudoquina A.St.-Hil.","Solanum","Solanaceae","high","check_local.2state","ok_state_gazet",,FALSE,"ok_dist","full_name_match","Solanum pseudoquina",1230639,"High","locality_exact","PARQUE ESTADUAL CARLOS BOTELHO"
,,"40",,"MBM","MBM",,"PRESERVED_SPECIMEN","153240","49","Dias, AC; et al.",,,,,"8",,,,"Brazil",,"São Paulo","São Miguel Arcanjo","São Miguel Arcanjo","Parque Estadual Carlos Botelho.",,,"-23.870001","-47.990002","27904",,,,"Stehmann, JR; Semir, A",,,"Solanum cinnamomeum","Solanaceae","Solanum",,"Sendtn.",,,,,,,,,,,,,,,"MBM153240","Splink","MBM",,"Dias, A.C.","49",,"Stehmann, J.R.",,,"Dias","Semir, A.","brazil","sao paulo","sao miguel arcanjo","parque estadual carlos botelho",,"locality","brazil_sao paulo_sao miguel arcanjo_parque estadual carlos botelho","brazil_sao paulo_sao miguel arcanjo_pe carlos botelho",-24.068723,-47.971617,"locality","brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge",TRUE,-23.870001,-47.990002,"coord_original","miliseconds","Solanum cinnamomeum","Sendtn.","possibly_ok","Solanaceae","Solanum cinnamomeum","Sendtn.","species","name accepted","bfo-14748",,,"Solanum cinnamomeum Sendtn.","Solanum","Solanaceae","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","Solanum cinnamomeum",1235122,"High","locality_exact","PARQUE ESTADUAL CARLOS BOTELHO"
,,"13",,"IF","SPSF",,"PRESERVED_SPECIMEN","46822","29242","V.C.Souza & A.R.Duarte & J.G.Rando & M.P.Ferreira",,,,,,,,,"Brasil",,"SP","Sete Barras","Sete Barras","Parque Estadual Carlos Botelho - Núcleo Sete Barras",,,"-24.183056","-47.924722",,,,,,,,"Pterocarpus rohrii","Fabaceae","Pterocarpus",,"Vahl",,,,,,,,,,,,,,,"SPSF00046822","Splink","SPSF",,"Souza, V.C.","29242",,,,"Duarte, A.R.; Rando, J.G.; Ferreira, M.P.","Souza",,"brazil","sao paulo","sete barras","parque estadual carlos botelho",,"locality","brazil_sao paulo_sete barras_parque estadual carlos botelho","brazil_sao paulo_sete barras_pe carlos botelho",-24.166173,-47.972686,"locality","brazil_sao paulo_sete barras","Brazil","São Paulo","Sete Barras",,"ibge",TRUE,-24.183056,-47.924722,"coord_original","seconds","Pterocarpus rohrii","Vahl","possibly_ok","Fabaceae","Pterocarpus rohrii","Vahl","species","name accepted","bfo-23136",,,"Pterocarpus rohrii Vahl","Pterocarpus","Fabaceae","high","ok_same_resolution","ok_county",,FALSE,"bad_dist","full_name_match","Pterocarpus rohrii",824112,"High","locality_exact","PARQUE ESTADUAL CARLOS BOTELHO"
,,"40",,"MBM","MBM",,"PRESERVED_SPECIMEN","123686","118","Dias, AC",,,,,"14",,,,"Brazil",,"São Paulo","São Miguel Arcanjo","São Miguel Arcanjo","Parque Estadual de Carlos Botelho.",,,"-23.870001","-47.990002","27904",,,,"Chiea, SC",,,"Tibouchina fothergillae","Melastomataceae","Tibouchina",,"(Schrank & Mart. ex DC.) Cogn.",,,,,,,,,,,,,,,"MBM123686","Splink","MBM",,"Dias, A.C.","118",,"Chiea, S.C.",,,"Dias",,"brazil","sao paulo","sao miguel arcanjo","parque estadual de carlos botelho",,"locality","brazil_sao paulo_sao miguel arcanjo_parque estadual carlos botelho","brazil_sao paulo_sao miguel arcanjo_pe carlos botelho",-24.068723,-47.971617,"locality","brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge",TRUE,-23.870001,-47.990002,"coord_original","miliseconds","Pleroma fothergillii","(Schrank et Mart. ex DC.) Triana","possibly_ok","Melastomataceae","Pleroma fothergillii","(Schrank et Mart. ex DC.) Triana","species","replaced synonym","bfo-603030","Pleroma fothergillii","(Schrank et Mart. ex DC.) Triana","Pleroma fothergillii (Schrank et Mart. ex DC.) Triana","Pleroma","Melastomataceae","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","Pleroma fothergillii",1233691,"High","locality_exact","PARQUE ESTADUAL CARLOS BOTELHO"
,,"8",,"ESALQ","ESA",,"PRESERVED_SPECIMEN","109508","30058","Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.",,,,,,,,,"Brasil",,"São Paulo","Sete Barras","Sete Barras","Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes",,,"-24.379999","-47.919998","34059",,,,,,,"Platymiscium floribundum","Fabaceae","Platymiscium",,,,,,,,,,,,,,,,,"ESA109508","Splink","ESA",,"Souza, V.C.","30058",,,,"Duarte, A.R.; Rando, J.G.; Ferreira, M.P.","Souza",,"brazil","sao paulo","sete barras","parque estadual carlos botelho",,"locality","brazil_sao paulo_sete barras_parque estadual carlos botelho","brazil_sao paulo_sete barras_pe carlos botelho",-24.166173,-47.972686,"locality","brazil_sao paulo_sete barras","Brazil","São Paulo","Sete Barras",,"ibge",TRUE,-24.379999,-47.919998,"coord_original","miliseconds","Platymiscium floribundum","Vogel","possibly_ok","Fabaceae","Platymiscium floribundum","Vogel","species","name accepted","bfo-29816",,,"Platymiscium floribundum Vogel","Platymiscium","Fabaceae","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","Platymiscium floribundum",1162149,"High","locality_exact","PARQUE ESTADUAL CARLOS BOTELHO"
,,"8",,"ESALQ","ESA",,"PRESERVED_SPECIMEN","109536","30102","Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.",,,,,,,,,"Brasil",,"São Paulo","Sete Barras","Sete Barras","Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes",,,"-24.379999","-47.919998","34059",,,,,,,"Piptadenia paniculata","Fabaceae","Piptadenia",,,,,,,,,,,,,,,,,"ESA109536","Splink","ESA",,"Souza, V.C.","30102",,,,"Duarte, A.R.; Rando, J.G.; Ferreira, M.P.","Souza",,"brazil","sao paulo","sete barras","parque estadual carlos botelho",,"locality","brazil_sao paulo_sete barras_parque estadual carlos botelho","brazil_sao paulo_sete barras_pe carlos botelho",-24.166173,-47.972686,"locality","brazil_sao paulo_sete barras","Brazil","São Paulo","Sete Barras",,"ibge",TRUE,-24.379999,-47.919998,"coord_original","miliseconds","Piptadenia paniculata","Benth.","possibly_ok","Fabaceae","Piptadenia paniculata","Benth.","species","name accepted","bfo-83589",,,"Piptadenia paniculata Benth.","Piptadenia","Fabaceae","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","Piptadenia paniculata",1162185,"High","locality_exact","PARQUE ESTADUAL CARLOS BOTELHO"
,,"8",,"ESALQ","ESA",,"PRESERVED_SPECIMEN","109506","30057","Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.",,,,,,,,,"Brasil",,"São Paulo","Sete Barras","Sete Barras","Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes",,,"-24.379999","-47.919998","34059",,,,,,,"Ormosia arborea","Fabaceae","Ormosia",,,,,,,,,,,,,,,,,"ESA109506","Splink","ESA",,"Souza, V.C.","30057",,,,"Duarte, A.R.; Rando, J.G.; Ferreira, M.P.","Souza",,"brazil","sao paulo","sete barras","parque estadual carlos botelho",,"locality","brazil_sao paulo_sete barras_parque estadual carlos botelho","brazil_sao paulo_sete barras_pe carlos botelho",-24.166173,-47.972686,"locality","brazil_sao paulo_sete barras","Brazil","São Paulo","Sete Barras",,"ibge",TRUE,-24.379999,-47.919998,"coord_original","miliseconds","Ormosia arborea","(Vell.) Harms","possibly_ok","Fabaceae","Ormosia arborea","(Vell.) Harms","species","name accepted","bfo-29802",,,"Ormosia arborea (Vell.) Harms","Ormosia","Fabaceae","high","ok_same_resolution","ok_county",,FALSE,"no_cannot_check","full_name_match","Ormosia arborea",1162114,"High","locality_exact","PARQUE ESTADUAL CARLOS BOTELHO"
,,"8",,"ESALQ","ESA",,"PRESERVED_SPECIMEN","051951","344","Lima, R.A.F.",,,,,,,,,"Brasil",,"São Paulo","São Miguel Arcanjo","São Miguel Arcanjo","Trilha Água 1 - Parque Estadual de Carlos Botelho",,,"-23.870001","-47.990002","27904",,,,"Baitello, J.B.",,,"Ocotea teleiandra","Lauraceae","Ocotea",,"(Meisn.) Mez",,,,,,,,,,,,,,,"ESA051951","Splink","ESA",,"Lima, R.A.F.","344",,"Baitello, J.B.",,,"Lima",,"brazil","sao paulo","sao miguel arcanjo","parque estadual de carlos botelho","trilha agua 1","locality","brazil_sao paulo_sao miguel arcanjo_parque estadual carlos botelho","brazil_sao paulo_sao miguel arcanjo_pe carlos botelho",-24.068723,-47.971617,"locality","brazil_sao paulo_sao miguel arcanjo","Brazil","São Paulo","São Miguel Arcanjo",,"ibge",TRUE,-23.870001,-47.990002,"coord_original","miliseconds","Ocotea teleiandra","(Meisn.) Mez","possibly_ok","Lauraceae","Ocotea teleiandra","(Meisn.) Mez","species","name accepted","bfo-8510",,,"Ocotea teleiandra (Meisn.) Mez","Ocotea","Lauraceae","high","ok_same_resolution","ok_county",,FALSE,"ok_dist","full_name_match","Ocotea teleiandra",1156003,"High","locality_exact","PARQUE ESTADUAL CARLOS BOTELHO"
